Tool Name,Resource Link,Type,Contacts,Comments,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
velocity AI Assistant,https://wiki.corp.ebay.com/display/MOTORS/HackWeek+2024%3A+Velocity+AI+Assistant,Application,,Pending SAFE ticket and onboarding - tool for monitoring PULSE board activity,,,,,,,,,,,,,,,,,,,,,,
ShopByChoice -> how to train your agent and run inferencing at scale,https://hubtv.corp.ebay.com/#/media/zBmOjd,Info Resource,,Deep dive into using existing tools to build AI based solution,,,,,,,,,,,,,,,,,,,,,,
2025 AI Velocity Planning,https://docs.google.com/document/d/1e3gFyhOALBS7QaLl8wE-boryPY78mPAq79pYypyYI5Q/edit?tab=t.0,Info Resource,,Plans for accelerating AI development within eBay,,,,,,,,,,,,,,,,,,,,,,
Core AI Portal,https://wiki.corp.ebay.com/display/COREAI/,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
HubGPT Component,https://github.corp.ebay.com/raptor-io-components/raptor-hubgpt-component#features,Code Repository,,,,,,,,,,,,,,,,,,,,,,,,
Raptor IO on Spring AI,Raptor.io on Spring AI - Brownbag,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
"LLM Capability, Cost, and Throughput","LLM capability, cost, & throughput (www.harlanlewis.com)",Info Resource,,comprehensive list of LLMs and their capabilites,,,,,,,,,,,,,,,,,,,,,,
Summary of state of AI ,https://www.perplexity.ai/search/create-a-summary-of-the-state-hhlT_mAsTrGWULr08lka0Q,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Board Developer Friction AI report,https://pulse.qa.ebay.com/dev-friction?type=application&name=Motors&dashboard=false&period=30d&poolTracking=MANAGED&results=100&offset=0&pageIndex=0&sortOrder=asc&filterBy=name&filterValue=&deploymentMode=ALL&fromDashboard=domain&velocityGoals=&devFrictionType=ActiveAppsByCommit&onlyActiveApps=false&metricSource=verticalsonboardingsvc,Application,,,,,,,,,,,,,,,,,,,,,,,,
Chomsky Gateway,https://wiki.corp.ebay.com/pages/viewpage.action?spaceKey=COREAI&title=Chomsky+Gateway+Design,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
Cline Memory Bank,https://docs.cline.bot/improving-your-prompting-skills/cline-memory-bank,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
AI at eBay ,https://hub.corp.ebay.com/site/cpt/page/ai,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
eBays AI Bias and Fairness Standard,https://ebayinc.sharepoint.com/sites/3372/LegalPolicyLibrary/Forms/AllItems.aspx?id=%2Fsites%2F3372%2FLegalPolicyLibrary%2FAI%20Bias%20and%20Fairness%20Standard%2Epdf&parent=%2Fsites%2F3372%2FLegalPolicyLibrary,Info Resource,DL-eBay-ORAI@ebay.com,,,,,,,,,,,,,,,,,,,,,,,
eBay AI Week,https://hub.corp.ebay.com/site/cpt/page/aiconference2025,Info Resource,#ebay-2025-AI-week,,,,,,,,,,,,,,,,,,,,,,,
AI Agent Guidelines,https://github.corp.ebay.com/Selling/ai-agent-guidelines,Info Resource,,includes design guidelines,,,,,,,,,,,,,,,,,,,,,,
AI News and Insights,https://ebay.enterprise.slack.com/archives/C05BQURSMBR,Info Resource,#ai-news-and-insights,anyone can post news and info about AI,,,,,,,,,,,,,,,,,,,,,,
AI Advocate,https://ebay.enterprise.slack.com/archives/C08EYJG3JNB,Info Resource,#ai-advocate,usually highly technical articles on AI,,,,,,,,,,,,,,,,,,,,,,
AI-eBay,https://ebay.enterprise.slack.com/archives/C0985LNF5EX,Info Resource,#ai-ebay,"11,000 members so tread carefully",,,,,,,,,,,,,,,,,,,,,,
Context Engineering,https://ebay.enterprise.slack.com/archives/C094W0APL6M,Info Resource,#context-engineering,"How to make the most out of your AI tokens. How to curate your context and have faster, more reliable AI outcomes",,,,,,,,,,,,,,,,,,,,,,
Context Engineering Preso,https://pages.github.corp.ebay.com/awooldridge/context_engineering_2025/index.html,Info Resource,,Slides from recent presentation on Context Engineering,,,,,,,,,,,,,,,,,,,,,,
Context Engineering Guide,https://go/context-engineering-guide,Info Resource,,Guide to all types of context engineering and ways to incorporate it into your workflows,,,,,,,,,,,,,,,,,,,,,,
Agents.md,https://agents.md/,Info Resource,,A new emerging standard to help repos communicate how they work to AI agents,,,,,,,,,,,,,,,,,,,,,,
Vibe Coding Thursdays,,Info Resource,#vibe-coding,"Vibe-Coding Thursdays (Portland) – Build, Share, and Get Inspired!
Occurs on Thursdays from 12:30 PM to 1:30 PM
https://ebay.zoom.us/j/93889119561?pwd=6qXjj6Pa9yz4HNAEH1Rjso7Of4JtMw.1&from=addon",,,,,,,,,,,,,,,,,,,,,,
HubTV AI Resources,https://hubtv.corp.ebay.com/#/groups/k0xZB4,Info Resource,,"Videos and KT sessions around various AI topics such as MCP, Cline, and more",,,,,,,,,,,,,,,,,,,,,,
Chat GPT Enterprise,https://hub.corp.ebay.com/site/itss/page/chatgptenterprise/us/,Info Resource,,Training and videos around Chat GPT Enterprise,,,,,,,,,,,,,,,,,,,,,,
Chat GPT 101 - a guide to your AI super assistant,https://hubtv.corp.ebay.com/#/media/LZEKpR,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
Chat GPT 102 - leveraging AI to do your best work,https://hubtv.corp.ebay.com/#/media/zmBWvj,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
AI Learning through Oreilly ,https://learning.oreilly.com/search/skills/ai-ml/?rows=100&language=en,Info Resource,,Many courses and learnings via our eBay Oreilly accounts,,,,,,,,,,,,,,,,,,,,,,
Glean MCP ,https://developers.glean.com/guides/mcp/,Info Resource,,Glean will soon support MCP servers,,,,,,,,,,,,,,,,,,,,,,
AI Product Metrics ,https://docs.google.com/document/d/1yqabHkMOuonM7X0s597i5E-T7ERQwucgraHS1dtfW58/edit?usp=sharing,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
Chat GPT Trainings ,https://hub.corp.ebay.com/site/itss/page/chatgptenterprise/us/employee,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
MCP Gateway Developer Guide,https://pages.github.corp.ebay.com/raptor-io-apps/mcpconnect/index.html,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
MCP Developer Progress,https://docs.google.com/spreadsheets/d/1_k_gd8xS9J-DbLhyeYdeLf7mh7JCQh07xua20ohCpEo/edit?gid=0#gid=0,Info Resource,#model-context-protocol,Features the list of remote and local MCP's and their development progresss,,,,,,,,,,,,,,,,,,,,,,
